Budget,Revenue,Title,Average Vote,release_date,Release Year,"Revenue, USD mln","Budget, USD mln","Revenue Adjusted, USD mln",Revenue Adjusted,"Budget Adjusted, USD mln",Outlier,Starring Actors Popularity
120000000,186053725,Atlantis: The Lost Empire,6.7,2001-06-02,2001.0,186.053725,120.0,298.5616105258152,298561610.5258152,192.56477269185459,False,2340.729602022376
135000000,76932943,Stealth,4.9,2005-07-28,2005.0,76.932943,135.0,109.68798103936655,109687981.03936656,192.4777197242342,False,622.4018770077746
100000000,336529144,Batman Forever,5.2,1995-05-31,1995.0,336.529144,100.0,644.824639999401,644824639.9994011,191.61034088607823,False,1495.2625908204593
170000000,644571402,Thor: The Dark World,6.8,2013-10-29,2013.0,644.571402,170.0,725.4707916250518,725470791.6250517,191.33649770000002,False,4509.2382603146625
165000000,471222889,Wreck-It Ralph,7.1,2012-11-01,2012.0,471.222889,165.0,546.2764784344467,546276478.4344467,191.28022225950002,False,619.490005993975
160000000,353624124,X-Men: First Class,7.1,2011-05-24,2011.0,353.624124,160.0,422.2456973702559,422245697.3702559,191.04836744464,False,601.2119547868132
130000000,789804554,Harry Potter and the Prisoner of Azkaban,7.7,2004-05-31,2004.0,789.804554,130.0,1159.854614586577,1159854614.586577,190.90938274870342,False,2784.1572124316576
155000000,415686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,2010-08-13,2010.0,415.686217,155.0,511.2416145056314,511241614.5056314,190.6304491408549,False,960.8577039800181
185000000,343471816,Star Trek Beyond,6.6,2016-07-07,2016.0,343.471816,185.0,353.77597048,353775970.48,190.55,False,1690.7399554347494
150000000,836297228,Transformers: Revenge of the Fallen,6.0,2009-06-19,2009.0,836.297228,150.0,1059.396307577798,1059396307.577798,190.01551220814247,False,2513.644382653626
150000000,385680446,Star Trek,7.4,2009-05-06,2009.0,385.680446,150.0,488.5684499690322,488568449.96903217,190.01551220814247,False,821.2966597747449
150000000,413106170,Night at the Museum: Battle of the Smithsonian,5.9,2009-05-20,2009.0,413.10617,150.0,523.3105365926265,523310536.5926265,190.01551220814247,False,5143.849480597203
